num_leaves	min_data_in_leaf	feature_fraction	learning_rate	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
213	8187	0.109255851041031	0.0530693557569809	0.928999972124758	75			139.557000000001	-0.000998257484931417		0.144000000000233	infill_ei	0.960999999999331	0.00365017216399958	0.929824897563995	271
31	5416	0.694057988032046	0.129547226833381	0.928969595258636	100			63.6470000000008	-0.000426291534608108		0.119999999998981	infill_ei	0.795000000001892	0.0015845102924233	0.93045217788493	79
189	8176	0.807867262583753	0.0605335229955577	0.928897345967251	76			94.0479999999989	-0.00100883756000535		0.119000000002416	infill_ei	0.712999999999738	0.00458938196448819	0.928876713453813	190
256	785	0.899189655695823	0.010102519486381	0.928873997474074	92			286.626	-0.000400055648622058		0.104000000002998	infill_ei	0.770999999997002	0.00241888170089714	0.929437615002327	723
136	957	0.111211145374101	0.0443657501184331	0.928831350736538	87			126.349999999999	-0.000677379574936602		0.164000000000669	infill_ei	0.75199999999677	0.00391732656219935	0.928627814537604	169
24	1228	0.101169506261076	0.0103655431617367	0.928753919509167	11			368.969	-0.00169117047999365		0.0479999999997745	infill_ei	0.523000000000138	0.00408435622477682	0.930355433515819	1543
256	4810	0.831475453159514	0.0472619532519861	0.928585298120947	0			111.037				initdesign				215
27	1672	0.827921634917216	0.0100017688251731	0.928554980817307	42			173.855	-0.000530432061503882		0.0519999999996799	infill_ei	0.627000000000408	0.00231923040163316	0.929687385530539	1142
73	2602	0.258915031462164	0.0547314680891609	0.928508939018263	1			173.601	-0.00672246525462021		0.288000000000011	infill_ei	0.523000000000138	0.00671810610534386	0.935078854031807	160
142	7383	0.378117979416969	0.045623827557485	0.928480765963996	88			224.046000000002	-0.000555409746409241		0.150999999998021	infill_ei	0.754000000000815	0.00197064010145903	0.930403231592856	222
210	1785	0.333770022826922	0.0299092064346201	0.928480646839031	27			225.045	-0.000698718497201505		0.0760000000009313	infill_ei	0.569999999999709	0.00187966627517006	0.930522099462537	202
163	3	0.611130152105953	0.021154360923186	0.928289451269908	12			153.944	-0.0016819533384396		0.0509999999994761	infill_ei	0.532000000000153	0.00416260114423632	0.930275850732647	512
32	8035	0.795873350009691	0.0579295054269026	0.928146679999133	84			91.8580000000002	-0.000277658116542417		0.105999999999767	infill_ei	0.73700000000099	0.00113161629701728	0.930451575116391	230
51	1155	0.732186273581028	0.0535160356734046	0.928052690401601	52			66.8770000000004	-0.000516471899342349		0.119999999998981	infill_ei	0.658999999999651	0.00136877512860599	0.9305665044761	127
214	8185	0.100541243395006	0.0832438818857065	0.928052630839119	82			114.614999999998	-0.000891610833837647		0.122000000003027	infill_ei	0.738999999997759	0.00419956822174703	0.928948988583191	163
256	6138	0.704260478472429	0.116164103143856	0.927999858479541	35			83.3419999999987	-0.000787993231179079		0.0859999999993306	infill_ei	0.604000000001179	0.00212286880923079	0.930506194692646	82
164	2424	0.893345350645673	0.0333703452012549	0.927960904615926	10			128.792	-0.00165419285899196		0.0509999999994761	infill_ei	0.530999999999949	0.00349745613401053	0.93072382102357	187
256	5633	0.100133834023823	0.120156371096774	0.927799073350721	32			106.270999999999	-0.00061694137782711		0.0469999999986612	infill_ei	0.585000000000946	0.00295081727966163	0.929257024778466	114
125	5351	0.742048595219289	0.083118698051091	0.92778870947875	3			87.81	-0.00200808162498699		0.0479999999997745	infill_ei	0.507000000000062	0.00349645015713555	0.930122312717943	91
256	5359	0.889493760813433	0.130116381972735	0.92778114504346	33			80.4159999999993	-0.00082000842359251		0.0860000000011496	infill_ei	0.595999999999549	0.00325762708590663	0.929518598929993	44
6	8187	0.109856811017564	0.0620735802781345	0.927711099563931	83			292.934000000001	-0.000665570562204346		0.236999999997352	infill_ei	0.744000000002416	0.00385127555666232	0.928603218684766	1097
256	8189	0.270757541294464	0.119931646643907	0.927682688259734	21			161.748	-0.000992054335424357		0.0779999999995198	infill_ei	0.551000000001295	0.00566578542700067	0.927358117852229	119
91	8190	0.100072765894152	0.0948020249933927	0.927594476223014	38			108.434999999999	-0.000572454452624494		0.0779999999995198	infill_ei	0.603000000000975	0.00365919331534737	0.928263418319696	139
6	7162	0.899815686021636	0.129515016360883	0.927533126865944	63			69.5630000000019	-0.000183988383124449		0.0720000000001164	infill_ei	0.682000000000699	0.00145152647144316	0.929739020992342	466
48	8191	0.881649856460553	0.134823279419563	0.927486727692004	72			78.8400000000002	-0.00230465019579682		0.110000000000582	infill_ei	0.703999999997905	0.00251693817303271	0.932855297992216	81
62	785	0.308382804853288	0.0856413922964501	0.927435265707044	0			152.963				initdesign				74
45	4876	0.899759569538567	0.115120420201753	0.927351044356657	37			77.5679999999993	-0.000584721699749288		0.0899999999983265	infill_ei	0.602000000000771	0.00286227033950437	0.929255101208906	104
29	8034	0.192020035561174	0.129939680039513	0.927220721644744	78			137.968000000001	-0.000178541950206941		0.148999999997613	infill_ei	0.724000000001979	0.00194697634126057	0.929008334563675	129
9	6297	0.726490750969405	0.039485153529336	0.92716687716048	0			133.065				initdesign				1149
8	2464	0.717322452137762	0.101410146816227	0.92715377341431	2			69.518	-0.00223844534300751		0.0470000000000255	infill_ei	0.499000000000251	0.00588079365405075	0.928812222490541	464
89	5669	0.250951625592527	0.135900261208241	0.927105408678444	0			158.248				initdesign				117
195	5937	0.899928004724384	0.126965763578484	0.926586738580026	85			83.9429999999993	-0.000263018818787461		0.184999999997672	infill_ei	0.747999999999593	0.00144538951616626	0.930057179377023	76
3	8191	0.899061262275454	0.113623993917356	0.92650460191653	73			105.301000000003	-0.000879093934771243		0.101000000002387	infill_ei	0.708999999998923	0.000916180969089549	0.931634534375303	1154
256	2809	0.173885381548949	0.103299667138887	0.926447183683311	4			205.165	-0.00294019095875967		0.0480000000002292	infill_ei	0.503000000000156	0.00535527181799119	0.930482263104597	60
92	8192	0.752235309493096	0.128355991989248	0.926408289382177	60			77.1219999999994	-0.000291362165792413		0.15599999999904	infill_ei	0.674000000002707	0.00120307234070666	0.930415343450323	77
26	5282	0.144945486306173	0.185252819224823	0.926295835415042	94			111.079999999998	-0.000242640115349892		0.23700000000099	infill_ei	0.776999999998225	0.00463756661166282	0.92519620909707	87
121	2414	0.685604935732641	0.124092747263825	0.926291338447606	31			92.6079999999984	-0.000453123474250854		0.0759999999991123	infill_ei	0.588000000001557	0.00168965117331345	0.930126090947095	46
4	8189	0.899616422843302	0.0100910170369308	0.926291010853952	57			698.316999999999	-9.41563924425992e-05		0.119000000002416	infill_ei	0.659999999999855	0.00214093535473401	0.928038328325546	9860
152	5116	0.277883615247992	0.108191115594273	0.926053922391991	51			153.052	-0.000287594754986258		0.123999999999796	infill_ei	0.663000000000466	0.00146174140618701	0.929890894773872	73
256	4202	0.560329430001218	0.13981530897879	0.925520927516509	69			226.811000000002	-0.000175853474682683		0.0819999999985157	infill_ei	0.691000000002532	0.00192696285549096	0.929022339187622	126
256	8191	0.100518889434253	0.168565125184885	0.925489299838252	53			101.694	-0.000464391289337797		0.115000000001601	infill_ei	0.64600000000064	0.00389412449081076	0.927493873942221	100
122	6682	0.630396000079896	0.169666065777691	0.92435606404444	0			83.2280000000001				initdesign				89
5	8190	0.899829544153458	0.382158900760193	0.924155338478102	64			48.0499999999993	-0.000227009639538442		0.0940000000009604	infill_ei	0.68500000000131	0.00436291018594961	0.925461631577873	194
172	30	0.286985081953348	0.0740271724453259	0.924073618751985	29			164.975999999999	-0.00130899288553708		0.0599999999994907	infill_ei	0.585000000000946	0.00616943627675523	0.927822195441606	103
2	8185	0.612090426330073	0.32774991794073	0.923595868079108	17			79.8890000000001	-0.0012622343912454		0.0599999999994907	infill_ei	0.53899999999976	0.00504009956248856	0.928501273741034	694
2	4282	0.658879777738078	0.367646182663825	0.923575378585096	81			73.0119999999988	-0.000430485365894443		0.170999999998458	infill_ei	0.734000000000378	0.00421603081090235	0.927100000769812	797
154	230	0.898109062588322	0.098900223232946	0.923504380105845	79			78.4229999999989	-0.000797409052133838		0.092000000000553	infill_ei	0.731999999999971	0.00393262495237826	0.928952771936684	60
2	8173	0.898889970581868	0.499919090545117	0.923337069092242	96			68.4319999999971	-0.00057593128960533		0.114000000001397	infill_ei	0.781999999999243	0.00913887411571781	0.920474976980526	716
2	7982	0.899396465191066	0.196365172415854	0.923263271176309	62			115.222999999998	-0.000166318553645363		0.126000000000204	infill_ei	0.681999999997061	0.00376380267500697	0.925910640595086	1527
208	3294	0.581373960798556	0.197672484706477	0.922568236566933	0			199.497				initdesign				48
2	3249	0.501080827003324	0.0894545781915281	0.922538753138049	6			1156.017	-0.00197727106072927		0.0500000000001819	infill_ei	0.510000000000218	0.00445223486465694	0.930178179147715	2979
182	8050	0.52619635113488	0.402833926157055	0.921265843322557	0			174.803				initdesign				25
84	5767	0.100009925956359	0.360334638058821	0.920507344887979	26			88.5869999999995	-0.00201493854204133		0.0779999999995198	infill_ei	0.575000000000728	0.00573075714247742	0.930061948641347	28
81	5523	0.75980960761439	0.313944766176256	0.920197768884702	0			76.663				initdesign				17
230	2789	0.166440458716735	0.254289580848064	0.92012581740573	0			116.715				initdesign				37
25	7240	0.429791522549148	0.434240030796366	0.918949607280727	0			155.391				initdesign				24
58	19	0.100071332499821	0.138286283620715	0.918745724902812	20			88.6049999999996	-0.0008611193682083		0.0650000000005093	infill_ei	0.564000000000306	0.00510175988459605	0.927567843256828	47
94	8191	0.518772337838751	0.373822990536692	0.918645034525989	80			174.687999999998	-0.000432689972854213		0.0979999999981374	infill_ei	0.731999999999971	0.00310011953766917	0.928643458696896	26
256	8186	0.44891220574849	0.314216305802501	0.91845601298748	43			170.717000000001	-0.000571993051067893		0.0889999999999418	infill_ei	0.645000000000437	0.00601292787239256	0.925038104455141	39
137	2411	0.488911029124515	0.360320707945463	0.918439811992215	0			182.502				initdesign				21
109	4570	0.358693703976062	0.25976986839311	0.916871114888167	0			151.561				initdesign				12
48	1526	0.106528699912124	0.472378597792354	0.901442079178552	0			139.031				initdesign				289
219	1763	0.208786551707332	0.463509456864114	0.898540552401524	0			196.13				initdesign				263
171	91	0.870366926080622	0.345211634259239	0.884998724171623	0			71.4880000000001				initdesign				1
